  i          x            density        pressure        velocity
 115   2.8571430E-01   9.2370921E-01   8.9484829E-01   9.3156196E-02
 116   2.8822055E-01   9.1545612E-01   8.8367498E-01   1.0359893E-01
 117   2.9072681E-01   9.0726209E-01   8.7262148E-01   1.1404166E-01
 118   2.9323307E-01   8.9912689E-01   8.6168665E-01   1.2448440E-01
 119   2.9573935E-01   8.9104980E-01   8.5086918E-01   1.3492733E-01
 120   2.9824561E-01   8.8303119E-01   8.4016865E-01   1.4537007E-01
 121   3.0075186E-01   8.7507039E-01   8.2958370E-01   1.5581274E-01
 122   3.0325815E-01   8.6716688E-01   8.1911290E-01   1.6625562E-01
 123   3.0576441E-01   8.5932082E-01   8.0875593E-01   1.7669836E-01
 124   3.0827066E-01   8.5153162E-01   7.9851139E-01   1.8714109E-01
 125   3.1077695E-01   8.4379882E-01   7.8837794E-01   1.9758393E-01
 126   3.1328321E-01   8.3612251E-01   7.7835530E-01   2.0802666E-01
 127   3.1578946E-01   8.2850218E-01   7.6844203E-01   2.1846940E-01
 128   3.1829575E-01   8.2093722E-01   7.5863683E-01   2.2891228E-01
 129   3.2080200E-01   8.1342793E-01   7.4893945E-01   2.3935501E-01
 130   3.2330826E-01   8.0597365E-01   7.3934847E-01   2.4979775E-01
 131   3.2581455E-01   7.9857391E-01   7.2986269E-01   2.6024058E-01
 132   3.2832080E-01   7.9122883E-01   7.2048169E-01   2.7068332E-01
 133   3.3082706E-01   7.8393793E-01   7.1120423E-01   2.8112605E-01
 134   3.3333334E-01   7.7670062E-01   7.0202905E-01   2.9156893E-01
 135   3.3583960E-01   7.6951706E-01   6.9295585E-01   3.0201167E-01
 136   3.3834586E-01   7.6238680E-01   6.8398333E-01   3.1245440E-01
 137   3.4085214E-01   7.5530922E-01   6.7511028E-01   3.2289723E-01
 138   3.4335840E-01   7.4828458E-01   6.6633636E-01   3.3333996E-01
 139   3.4586465E-01   7.4131227E-01   6.5766037E-01   3.4378269E-01
 140   3.4837094E-01   7.3439181E-01   6.4908111E-01   3.5422558E-01
 141   3.5087720E-01   7.2752339E-01   6.4059824E-01   3.6466831E-01
 142   3.5338345E-01   7.2070640E-01   6.3221055E-01   3.7511104E-01
 143   3.5588971E-01   7.1394062E-01   6.2391722E-01   3.8555378E-01
 144   3.5839599E-01   7.0722556E-01   6.1571699E-01   3.9599660E-01
 145   3.6090225E-01   7.0056134E-01   6.0760957E-01   4.0643933E-01
 146   3.6340851E-01   6.9394743E-01   5.9959388E-01   4.1688207E-01
 147   3.6591479E-01   6.8738335E-01   5.9166873E-01   4.2732495E-01
 148   3.6842105E-01   6.8086922E-01   5.8383375E-01   4.3776768E-01
 149   3.7092730E-01   6.7440462E-01   5.7608795E-01   4.4821042E-01
 150   3.7343359E-01   6.6798902E-01   5.6843007E-01   4.5865327E-01
 151   3.7593985E-01   6.6162252E-01   5.6085992E-01   4.6909600E-01
 152   3.7844610E-01   6.5530467E-01   5.5337632E-01   4.7953874E-01
 153   3.8095239E-01   6.4903492E-01   5.4597819E-01   4.8998162E-01
 154   3.8345864E-01   6.4281350E-01   5.3866529E-01   5.0042433E-01
 155   3.8596490E-01   6.3663989E-01   5.3143650E-01   5.1086706E-01
 156   3.8847119E-01   6.3051355E-01   5.2429080E-01   5.2130991E-01
 157   3.9097744E-01   6.2443471E-01   5.1722783E-01   5.3175265E-01
 158   3.9348370E-01   6.1840284E-01   5.1024657E-01   5.4219538E-01
 159   3.9598998E-01   6.1241770E-01   5.0334620E-01   5.5263823E-01
 160   3.9849624E-01   6.0647875E-01   4.9652579E-01   5.6308097E-01
 161   4.0100250E-01   6.0058618E-01   4.8978496E-01   5.7352370E-01
 162   4.0350878E-01   5.9473950E-01   4.8312274E-01   5.8396655E-01
 163   4.0601504E-01   5.8893824E-01   4.7653809E-01   5.9440929E-01
 164   4.0852129E-01   5.8318251E-01   4.7003078E-01   6.0485202E-01
 165   4.1102758E-01   5.7747191E-01   4.6359974E-01   6.1529487E-01
 166   4.1353384E-01   5.7180607E-01   4.5724431E-01   6.2573761E-01
 167   4.1604009E-01   5.6618470E-01   4.5096347E-01   6.3618034E-01
 168   4.1854635E-01   5.6060773E-01   4.4475693E-01   6.4662308E-01
 169   4.2105263E-01   5.5507463E-01   4.3862355E-01   6.5706593E-01
 170   4.2355889E-01   5.4958552E-01   4.3256304E-01   6.6750866E-01
 171   4.2606515E-01   5.4413992E-01   4.2657441E-01   6.7795140E-01
 172   4.2857143E-01   5.3873754E-01   4.2065701E-01   6.8839431E-01
 173   4.3107769E-01   5.3337795E-01   4.1480991E-01   6.9883704E-01
 174   4.3358395E-01   5.2806133E-01   4.0903279E-01   7.0927978E-01
 175   4.3609023E-01   5.2278721E-01   4.0332478E-01   7.1972257E-01
 176   4.3859649E-01   5.1755506E-01   3.9768502E-01   7.3016530E-01
 177   4.4110274E-01   5.1236510E-01   3.9211315E-01   7.4060804E-01
 178   4.4360903E-01   5.0721687E-01   3.8660833E-01   7.5105089E-01
 179   4.4611529E-01   5.0211012E-01   3.8116989E-01   7.6149362E-01
 180   4.4862154E-01   4.9704441E-01   3.7579697E-01   7.7193636E-01
 181   4.5112783E-01   4.9201965E-01   3.7048912E-01   7.8237927E-01
 182   4.5363408E-01   4.8703578E-01   3.6524582E-01   7.9282200E-01
 183   4.5614034E-01   4.8209238E-01   3.6006624E-01   8.0326474E-01
 184   4.5864663E-01   4.7718921E-01   3.5494974E-01   8.1370759E-01
 185   4.6115288E-01   4.7232586E-01   3.4989554E-01   8.2415032E-01
 186   4.6365914E-01   4.6750239E-01   3.4490332E-01   8.3459306E-01
 187   4.6616542E-01   4.6271840E-01   3.3997229E-01   8.4503591E-01
 188   4.6867168E-01   4.5797351E-01   3.3510160E-01   8.5547864E-01
 189   4.7117794E-01   4.5326778E-01   3.3029106E-01   8.6592138E-01
 190   4.7368422E-01   4.4860080E-01   3.2553980E-01   8.7636417E-01
 191   4.7619048E-01   4.4397235E-01   3.2084724E-01   8.8680691E-01
 192   4.7869673E-01   4.3938220E-01   3.1621280E-01   8.9724964E-01
 193   4.8120302E-01   4.3482992E-01   3.1163570E-01   9.0769249E-01
 194   4.8370928E-01   4.3031561E-01   3.0711564E-01   9.1813523E-01
 195   4.8621553E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 196   4.8872179E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 197   4.9122807E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 198   4.9373433E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 199   4.9624059E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 200   4.9874687E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 201   5.0125313E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
