# solution from ATHENA 
# Nx1 = 800
# x1-size = 1
# Time = 0.1
#
# [1]=i-zone [2]=x1 [3]=d [4]=M1 [5]=M2 [6]=M3 [7]=P [8]=E [9]=B1c [10]=B2c [11]=B3c [12]=B1i [13]=B1i [14]=B1i
#
 54 6.31250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 55 6.43750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 56 6.56250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 57 6.68750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 58 6.81250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 59 6.93750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 60 7.06250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 61 7.18750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 62 7.31250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 63 7.43750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 64 7.56250000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 65 7.68750000e-02 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
